,id_orig,dest_type,mode,duration,population,city
0,7011285,police_station,cycling,2025.9,174,hamilton
15,7011285,police_station,walking,5672.8,174,hamilton
14,7011285,downtown,cycling,2849.1,174,hamilton
13,7011285,hospital,cycling,3054.5,174,hamilton
12,7011285,library,walking,5846.3,174,hamilton
10,7011285,supermarket,walking,4344.0,174,hamilton
9,7011285,primary_school,cycling,1805.0,174,hamilton
8,7011285,fire_station,walking,3537.2,174,hamilton
11,7011285,fire_station,cycling,1303.9,174,hamilton
6,7011285,library,cycling,2110.6,174,hamilton
5,7011285,clinic,walking,4931.1,174,hamilton
4,7011285,downtown,walking,8244.6,174,hamilton
3,7011285,hospital,walking,8542.4,174,hamilton
2,7011285,supermarket,cycling,1625.4,174,hamilton
1,7011285,primary_school,walking,4837.8,174,hamilton
7,7011285,clinic,cycling,1794.4,174,hamilton
25,7011290,library,cycling,2392.4,162,hamilton
31,7011290,police_station,walking,4349.0,162,hamilton
30,7011290,fire_station,cycling,2448.8,162,hamilton
29,7011290,fire_station,walking,6378.2,162,hamilton
28,7011290,supermarket,cycling,1282.1,162,hamilton
26,7011290,police_station,cycling,1630.3,162,hamilton
24,7011290,primary_school,walking,5038.9,162,hamilton
27,7011290,hospital,walking,8048.6,162,hamilton
22,7011290,downtown,cycling,3252.1,162,hamilton
21,7011290,hospital,cycling,2908.9,162,hamilton
20,7011290,supermarket,walking,3106.4,162,hamilton
19,7011290,clinic,walking,4387.1,162,hamilton
18,7011290,downtown,walking,8997.0,162,hamilton
17,7011290,primary_school,cycling,2000.9,162,hamilton
16,7011290,library,walking,6373.9,162,hamilton
23,7011290,clinic,cycling,1645.5,162,hamilton
47,7011291,downtown,cycling,2742.4,126,hamilton
46,7011291,hospital,cycling,2399.2,126,hamilton
45,7011291,supermarket,cycling,772.4,126,hamilton
44,7011291,fire_station,walking,5323.3,126,hamilton
43,7011291,clinic,walking,3332.2,126,hamilton
42,7011291,hospital,walking,6993.7,126,hamilton
41,7011291,clinic,cycling,1135.8,126,hamilton
40,7011291,police_station,cycling,1120.6,126,hamilton
39,7011291,primary_school,walking,3984.0,126,hamilton
37,7011291,fire_station,cycling,1939.1,126,hamilton
36,7011291,supermarket,walking,2051.5,126,hamilton
35,7011291,primary_school,cycling,1491.2,126,hamilton
34,7011291,downtown,walking,7942.1,126,hamilton
33,7011291,police_station,walking,3294.1,126,hamilton
32,7011291,library,walking,5319.0,126,hamilton
38,7011291,library,cycling,1882.7,126,hamilton
57,7011292,fire_station,walking,5187.8,225,hamilton
63,7011292,library,cycling,1828.1,225,hamilton
62,7011292,police_station,cycling,1263.8,225,hamilton
61,7011292,supermarket,walking,1691.6,225,hamilton
60,7011292,supermarket,cycling,808.9,225,hamilton
58,7011292,hospital,walking,5975.4,225,hamilton
56,7011292,library,walking,4581.5,225,hamilton
59,7011292,primary_school,cycling,1666.7,225,hamilton
54,7011292,clinic,cycling,1240.9,225,hamilton
48,7011292,downtown,walking,7613.3,225,hamilton
49,7011292,primary_school,walking,3848.5,225,hamilton
50,7011292,downtown,cycling,2870.2,225,hamilton
55,7011292,clinic,walking,2917.9,225,hamilton
52,7011292,fire_station,cycling,2094.7,225,hamilton
53,7011292,police_station,walking,2956.0,225,hamilton
51,7011292,hospital,cycling,2281.4,225,hamilton
74,7011293,fire_station,walking,4620.4,201,hamilton
79,7011293,primary_school,cycling,2081.6,201,hamilton
78,7011293,fire_station,cycling,1598.4,201,hamilton
77,7011293,downtown,walking,7878.0,201,hamilton
76,7011293,hospital,cycling,1962.5,201,hamilton
75,7011293,clinic,cycling,1219.1,201,hamilton
73,7011293,supermarket,walking,3392.3,201,hamilton
72,7011293,library,walking,5055.1,201,hamilton
71,7011293,clinic,walking,3318.6,201,hamilton
70,7011293,library,cycling,1809.8,201,hamilton
69,7011293,police_station,cycling,1797.9,201,hamilton
68,7011293,supermarket,cycling,1244.0,201,hamilton
67,7011293,hospital,walking,5662.8,201,hamilton
66,7011293,primary_school,walking,6038.2,201,hamilton
65,7011293,downtown,cycling,2769.5,201,hamilton
64,7011293,police_station,walking,4827.9,201,hamilton
94,7011359,clinic,cycling,2328.6,126,hamilton
93,7011359,primary_school,cycling,1792.2,126,hamilton
92,7011359,fire_station,cycling,1838.1,126,hamilton
91,7011359,police_station,walking,7050.1,126,hamilton
90,7011359,fire_station,walking,5362.6,126,hamilton
89,7011359,supermarket,walking,5913.3,126,hamilton
88,7011359,library,cycling,2357.8,126,hamilton
95,7011359,hospital,cycling,3414.8,126,hamilton
87,7011359,downtown,cycling,3078.8,126,hamilton
85,7011359,downtown,walking,8881.0,126,hamilton
84,7011359,library,walking,6909.3,126,hamilton
83,7011359,police_station,cycling,2467.5,126,hamilton
82,7011359,primary_school,walking,5242.0,126,hamilton
81,7011359,supermarket,cycling,2032.8,126,hamilton
80,7011359,hospital,walking,9903.5,126,hamilton
86,7011359,clinic,walking,6756.5,126,hamilton
111,7011364,downtown,cycling,2244.3,150,hamilton
110,7011364,primary_school,walking,2760.3,150,hamilton
109,7011364,hospital,walking,7421.8,150,hamilton
108,7011364,hospital,cycling,2580.3,150,hamilton
107,7011364,downtown,walking,6399.3,150,hamilton
106,7011364,supermarket,cycling,1198.3,150,hamilton
105,7011364,library,cycling,1523.3,150,hamilton
104,7011364,clinic,walking,4625.9,150,hamilton
103,7011364,primary_school,cycling,957.7,150,hamilton
101,7011364,police_station,walking,4568.4,150,hamilton
100,7011364,clinic,cycling,1600.5,150,hamilton
99,7011364,fire_station,cycling,1647.2,150,hamilton
98,7011364,library,walking,4427.6,150,hamilton
97,7011364,fire_station,walking,5011.6,150,hamilton
96,7011364,supermarket,walking,3431.6,150,hamilton
102,7011364,police_station,cycling,1633.0,150,hamilton
121,7011365,clinic,walking,3762.3,228,hamilton
127,7011365,supermarket,walking,2568.0,228,hamilton
126,7011365,downtown,cycling,1948.7,228,hamilton
125,7011365,police_station,walking,3704.8,228,hamilton
124,7011365,hospital,cycling,2284.7,228,hamilton
122,7011365,fire_station,cycling,1351.6,228,hamilton
120,7011365,library,walking,3564.0,228,hamilton
123,7011365,hospital,walking,6558.2,228,hamilton
118,7011365,library,cycling,1227.7,228,hamilton
112,7011365,primary_school,walking,1896.7,228,hamilton
113,7011365,downtown,walking,5535.7,228,hamilton
114,7011365,police_station,cycling,1337.4,228,hamilton
119,7011365,fire_station,walking,4148.0,228,hamilton
116,7011365,supermarket,cycling,902.7,228,hamilton
117,7011365,primary_school,cycling,662.1,228,hamilton
115,7011365,clinic,cycling,1304.9,228,hamilton
138,7011366,library,walking,3178.9,189,hamilton
143,7011366,supermarket,walking,3075.6,189,hamilton
142,7011366,downtown,cycling,2385.3,189,hamilton
141,7011366,police_station,walking,3118.1,189,hamilton
140,7011366,hospital,cycling,2507.5,189,hamilton
139,7011366,clinic,walking,3208.1,189,hamilton
137,7011366,primary_school,cycling,1773.1,189,hamilton
136,7011366,fire_station,walking,5765.7,189,hamilton
135,7011366,supermarket,cycling,1570.5,189,hamilton
134,7011366,library,cycling,1531.2,189,hamilton
133,7011366,police_station,cycling,1514.1,189,hamilton
132,7011366,fire_station,cycling,2452.1,189,hamilton
131,7011366,clinic,cycling,1582.3,189,hamilton
130,7011366,primary_school,walking,3800.7,189,hamilton
129,7011366,hospital,walking,5645.0,189,hamilton
128,7011366,downtown,walking,5608.4,189,hamilton
155,7011367,downtown,cycling,1427.1,153,hamilton
156,7011367,primary_school,walking,2324.4,153,hamilton
154,7011367,fire_station,walking,4251.0,153,hamilton
158,7011367,downtown,walking,4093.7,153,hamilton
159,7011367,clinic,cycling,624.1,153,hamilton
153,7011367,police_station,walking,1603.4,153,hamilton
157,7011367,police_station,cycling,555.9,153,hamilton
