geoid,baseline_distance,raw_distance,change_distance
245100101001000,998.6,1002.9,4.2999999999999545
245100101001001,942.3,1058.5,116.20000000000005
245100101001002,881.3,1121.6,240.29999999999995
245100101001003,820.7,1181.3,360.5999999999999
245100101001004,757.5,1212.8,455.29999999999995
245100101001005,697.5,1253.0,555.5
245100101001006,631.0,1291.1,660.0999999999999
245100101001007,584.7,1355.8,771.0999999999999
245100101001008,501.3,1462.4,961.1000000000001
245100101001009,499.6,1428.5,928.9
245100101001010,602.3,1349.6,747.3
245100101001011,653.8,1316.5,662.7
245100101001012,711.7,1287.0,575.3
245100101001013,766.5,1222.8,456.29999999999995
245100101001014,834.9,1160.0,325.1
245100101001015,888.7,1104.6,215.89999999999986
245100101001016,682.1,1312.5,630.4
245100101001017,586.6,1286.6,699.9999999999999
245100101001018,650.9,1389.7,738.8000000000001
245100101002000,774.4,988.7,214.30000000000007
245100101002001,723.1,1047.8,324.69999999999993
245100101002002,655.1,1109.9,454.80000000000007
245100101002003,598.2,1163.8,565.5999999999999
245100101002004,531.7,1233.7,702.0
245100101002005,473.6,1291.1,817.4999999999999
245100101002006,408.9,1354.2,945.3000000000001
245100101002007,352.6,1408.3,1055.6999999999998
245100101002008,344.4,1305.1,960.6999999999999
245100101002009,398.0,1249.3,851.3
245100101002010,450.4,1199.8,749.4
245100101002011,511.0,1140.3,629.3
245100101002012,601.3,1058.9,457.60000000000014
245100101002013,657.0,1004.7,347.70000000000005
245100101002014,716.6,933.6,217.0
245100101002015,775.3,880.2,104.90000000000009
245100101002016,429.0,1146.6,717.5999999999999
245100101002017,552.7,1025.2,472.5
245100101002018,614.2,963.7,349.5
245100101003000,761.6,811.5,49.89999999999998
245100101003001,680.0,892.8,212.79999999999995
245100101003002,633.4,939.4,306.0
245100101003003,571.2,1000.7,429.5
245100101003004,552.8,1046.5,493.70000000000005
245100101003005,463.1,1117.9,654.8000000000001
245100101003006,336.0,1253.0,917.0
245100101003007,661.3,1072.8,411.5
245100101003008,479.8,1092.8,613.0
245100101003009,355.5,1203.8,848.3
245100101003010,342.4,1251.2,908.8000000000001
245100101003011,428.9,1145.3,716.4
245100101003012,483.5,1232.6,749.0999999999999
245100101003013,404.9,1258.9,854.0000000000001
245100101003014,742.8,1213.7,470.9000000000001
245100101003015,741.3,970.3,229.0
245100101003016,730.3,841.7,111.40000000000009
245100101003017,662.0,909.3,247.29999999999995
245100101003018,601.2,970.1,368.9
245100101003019,671.4,901.2,229.80000000000007
245100101003020,722.3,849.0,126.70000000000005
245100101003021,694.2,694.2,0.0
245100101003022,718.4,718.4,0.0
245100101003023,705.8,705.8,0.0
245100101003024,785.0,785.0,0.0
245100101003025,764.0,996.6,232.60000000000002
245100101003026,752.7,1026.5,273.79999999999995
245100102001000,564.9,850.3,285.4
245100102001001,611.8,908.3,296.5
245100102001002,676.4,971.7,295.30000000000007
245100102001003,800.7,910.7,110.0
245100102001004,709.7,755.9,46.19999999999993
245100102001005,690.3,727.2,36.90000000000009
245100102001006,592.4,592.4,0.0
245100102001007,650.9,650.9,0.0
245100102002000,559.4,559.4,0.0
245100102002001,614.7,614.7,0.0
245100102002002,726.2,726.2,0.0
