geoid,baseline_distance,raw_distance,change_distance
245100101001000,998.6,1974.6,975.9999999999999
245100101001001,942.3,1921.3,979.0
245100101001002,881.3,1854.1,972.8
245100101001003,820.7,1794.6,973.8999999999999
245100101001004,757.5,1730.6,973.0999999999999
245100101001005,697.5,1671.7,974.2
245100101001006,631.0,1607.6,976.5999999999999
245100101001007,584.7,1535.5,950.8
245100101001008,501.3,1649.8,1148.5
245100101001009,499.6,1716.4,1216.8000000000002
245100101001010,602.3,1748.7,1146.4
245100101001011,653.8,1818.4,1164.6000000000001
245100101001012,711.7,1884.3,1172.6
245100101001013,766.5,1950.7,1184.2
245100101001014,834.9,2019.9,1185.0
245100101001015,888.7,2074.3,1185.6000000000001
245100101001016,682.1,1898.9,1216.8000000000002
245100101001017,586.6,1803.4,1216.8000000000002
245100101001018,650.9,1797.3,1146.4
245100101002000,774.4,2147.7,1373.2999999999997
245100101002001,723.1,2104.5,1381.4
245100101002002,655.1,2028.2,1373.1
245100101002003,598.2,1926.3,1328.1
245100101002004,531.7,1896.8,1365.1
245100101002005,473.6,1793.0,1319.4
245100101002006,408.9,1730.9,1322.0
245100101002007,352.6,1744.6,1392.0
245100101002008,344.4,1736.4,1392.0
245100101002009,398.0,1790.0,1392.0
245100101002010,450.4,1842.4,1392.0
245100101002011,511.0,1903.0,1392.0
245100101002012,601.3,2015.2,1413.9
245100101002013,657.0,2059.0,1402.0
245100101002014,716.6,2144.9,1428.3000000000002
245100101002015,775.3,2167.2,1391.8999999999999
245100101002016,429.0,1888.6,1459.6
245100101002017,552.7,1997.6,1444.8999999999999
245100101002018,614.2,2059.1,1444.8999999999999
245100101003000,761.6,2200.3,1438.7000000000003
245100101003001,680.0,2118.6,1438.6
245100101003002,633.4,2072.0,1438.6
245100101003003,571.2,2009.9,1438.7
245100101003004,552.8,1983.7,1430.9
245100101003005,463.1,1904.7,1441.6
245100101003006,336.0,1774.7,1438.7
245100101003007,661.3,2060.2,1398.8999999999999
245100101003008,479.8,1908.8,1429.0
245100101003009,355.5,1794.2,1438.7
245100101003010,342.4,1781.1,1438.6999999999998
245100101003011,428.9,1838.2,1409.3000000000002
245100101003012,483.5,1864.4,1380.9
245100101003013,404.9,1781.6,1376.6999999999998
245100101003014,742.8,2114.4,1371.6000000000001
245100101003015,741.3,2141.5,1400.2
245100101003016,730.3,2130.4,1400.1000000000001
245100101003017,662.0,2092.8,1430.8000000000002
245100101003018,601.2,2032.0,1430.8
245100101003019,671.4,2071.6,1400.1999999999998
245100101003020,722.3,2153.1,1430.8
245100101003021,694.2,2242.6,1548.3999999999999
245100101003022,718.4,2252.4,1534.0
245100101003023,705.8,2226.0,1520.2
245100101003024,785.0,2274.1,1489.1
245100101003025,764.0,2135.6,1371.6
245100101003026,752.7,2124.3,1371.6000000000001
245100102001000,564.9,1826.6,1261.6999999999998
245100102001001,611.8,1770.2,1158.4
245100102001002,676.4,1707.5,1031.1
245100102001003,800.7,1701.9,901.2
245100102001004,709.7,1791.2,1081.5
245100102001005,690.3,1818.7,1128.4
245100102001006,592.4,1843.5,1251.1
245100102001007,650.9,1785.2,1134.3000000000002
245100102002000,559.4,1817.9,1258.5
245100102002001,614.7,1762.0,1147.3
245100102002002,726.2,1691.4,965.2
245100102002003,669.8,1747.6,1077.8
245100102002004,780.0,1746.4,966.4000000000001
245100102002005,837.1,1690.7,853.6
245100102002006,946.2,1805.4,859.2
245100102002007,890.0,1860.9,970.9000000000001
245100102003000,901.7,1629.5,727.8
245100102003001,961.6,1570.1,608.4999999999999
245100102003002,978.1,1505.0,526.9
245100102003003,920.2,1447.0,526.8
245100102003004,886.0,1413.6,527.5999999999999
245100102003005,799.7,1324.8,525.0999999999999
245100102003006,686.1,1438.5,752.4
245100102003007,742.7,1495.3,752.5999999999999
245100102003008,807.3,1559.9,752.6000000000001
245100102003009,866.6,1617.3,750.6999999999999
245100102003010,930.0,1682.9,752.9000000000001
245100102003011,988.9,1742.1,753.1999999999999
245100102004000,733.3,1647.4,914.1000000000001
245100102004001,798.6,1581.7,783.1
245100102004002,854.1,1527.7,673.6
245100102004003,978.7,1522.7,544.0
245100102004004,925.4,1576.1,650.6999999999999
245100102004005,858.0,1642.2,784.2
245100102004006,868.5,1547.6,679.0999999999999
245100102004007,691.9,1753.8,1061.9
245100102004008,832.4,1600.6,768.1999999999999
245100102004009,1088.0,1411.6,323.5999999999999
245100102004010,775.8,1547.5,771.7
245100102004011,721.0,1680.1,959.0999999999999
245100102004012,862.7,1485.4,622.7
245100103001000,947.0,1179.2,232.20000000000005
245100103001001,906.7,1011.3,104.59999999999991
245100103001002,1040.1,1040.1,0.0
245100103001003,978.8,978.8,0.0
245100103001004,1153.8,1202.0,48.200000000000045
245100103001005,1101.1,1413.5,312.4000000000001
245100103001006,781.2,873.4,92.19999999999993
245100103001007,1132.7,1136.1,3.3999999999998636
245100103001008,941.5,1276.5,335.0
